Matrix Size,Execution Times,Confidence Interval Lower,Confidence Interval Upper
2,"0,0,0,0,0",0.0,0.0
52,"1,2,0,1,1",0.122,1.878
102,"8,8,7,8,7",6.92,8.28
152,"26,27,26,27,27",25.92,27.28
202,"66,63,63,62,66",61.677,66.323
252,"124,123,134,124,129",121.016,132.584
302,"214,218,232,219,222",212.579,229.421
352,"350,356,346,355,345",344.155,356.645
402,"515,504,503,503,502",498.679,512.121
452,"722,718,719,714,716",714.034,721.566
502,"982,982,983,1000,997",977.715,999.885
552,"1304,1301,1311,1299,1301",1297.35,1309.05
602,"1700,1707,1699,1710,1693",1693.406,1710.194
652,"2158,2162,2167,2166,2188",2153.762,2182.638
702,"2690,2716,2698,2701,2712",2690.271,2716.529
752,"3329,3355,3327,3347,3341",3325.046,3354.554
802,"4040,4059,4056,4073,4059",4042.798,4072.002
852,"4867,4881,4888,4867,4888",4865.018,4891.382
902,"5829,5858,5860,5833,5854",5828.606,5864.994
952,"6965,6906,6931,6929,6997",6901.372,6989.828
1002,"8213,8208,8199,8409,8226",8140.663,8361.337
1052,"9698,9753,9639,9713,9685",9646.033,9749.167
1102,"11279,11171,11321,11268,11276",11194.208,11331.792
1152,"13025,12832,12956,13015,13004",12867.492,13065.308
1202,"15143,15213,15078,15016,15733",14880.203,15592.997
