Matrix Size,Execution Times,Confidence Interval Lower,Confidence Interval Upper
2,"0,0,0,0,0",0.0,0.0
52,"0,0,0,0,0",0.0,0.0
102,"2,2,2,2,2",2.0,2.0
152,"8,8,8,7,8",7.245,8.355
202,"17,18,17,20,18",16.479,19.521
252,"34,33,33,33,35",32.489,34.711
302,"57,58,58,61,58",56.517,60.283
352,"92,92,91,92,95",90.517,94.283
402,"140,136,135,139,135",134.088,139.912
452,"197,190,197,197,190",189.439,198.961
502,"269,266,267,283,265",260.792,279.208
552,"353,353,359,357,353",351.488,358.512
602,"464,464,453,465,464",455.73,468.27
652,"580,596,575,585,579",572.951,593.049
702,"727,743,740,731,716",718.01,744.79
752,"920,930,932,905,912",905.47,934.13
802,"1098,1098,1106,1211,1151",1072.013,1193.587
852,"1345,1308,1316,1300,1316",1295.892,1338.108
902,"1570,1770,1708,1541,1550",1498.195,1757.405
952,"1833,1827,1823,1859,1823",1814.251,1851.749
1002,"2122,2137,2122,2115,2115",2111.046,2133.354
1052,"2463,2465,2670,2497,2466",2401.29,2623.11
1102,"2921,2855,2983,2822,2921",2822.167,2978.633
1152,"3342,3397,3280,3291,3286",3257.096,3381.304
1202,"3857,3851,3906,3672,3708",3671.678,3925.922
