Threads,MatrixSize,MinValue,MaxValue,Time(ms)
1,100,0,100,4
1,100,0,100,3
1,100,0,100,3
1,100,0,100,4
1,100,0,100,3
1,100,0,100,3
1,200,0,100,30
1,200,0,100,31
1,200,0,100,30
1,200,0,100,30
1,200,0,100,30
1,200,0,100,29
1,300,0,100,104
1,300,0,100,102
1,300,0,100,102
1,300,0,100,106
1,300,0,100,101
1,300,0,100,102
1,400,0,100,246
1,400,0,100,242
1,400,0,100,247
1,400,0,100,243
1,400,0,100,243
1,400,0,100,247
1,500,0,100,485
1,500,0,100,486
1,500,0,100,484
1,500,0,100,482
1,500,0,100,478
1,500,0,100,483
1,600,0,100,838
1,600,0,100,830
1,600,0,100,831
1,600,0,100,830
1,600,0,100,837
1,600,0,100,833
1,700,0,100,1324
1,700,0,100,1338
1,700,0,100,1330
1,700,0,100,1326
1,700,0,100,1327
1,700,0,100,1333
1,800,0,100,1984
1,800,0,100,1979
1,800,0,100,1987
1,800,0,100,1974
1,800,0,100,1983
1,800,0,100,1980
1,900,0,100,2836
1,900,0,100,2832
1,900,0,100,2831
1,900,0,100,2840
1,900,0,100,2845
1,900,0,100,2841
1,1000,0,100,3880
1,1000,0,100,3889
1,1000,0,100,3894
1,1000,0,100,3918
1,1000,0,100,3901
1,1000,0,100,3885
2,100,0,100,2
2,100,0,100,2
2,100,0,100,2
2,100,0,100,2
2,100,0,100,2
2,100,0,100,2
2,200,0,100,15
2,200,0,100,15
2,200,0,100,15
2,200,0,100,16
2,200,0,100,16
2,200,0,100,16
2,300,0,100,52
2,300,0,100,53
2,300,0,100,53
2,300,0,100,51
2,300,0,100,52
2,300,0,100,53
2,400,0,100,128
2,400,0,100,132
2,400,0,100,130
2,400,0,100,125
2,400,0,100,130
2,400,0,100,123
2,500,0,100,249
2,500,0,100,247
2,500,0,100,279
2,500,0,100,258
2,500,0,100,253
2,500,0,100,240
2,600,0,100,427
2,600,0,100,455
2,600,0,100,424
2,600,0,100,438
2,600,0,100,427
2,600,0,100,430
2,700,0,100,714
2,700,0,100,673
2,700,0,100,704
2,700,0,100,704
2,700,0,100,692
