Threads,MatrixSize,MinValue,MaxValue,Time(ms)
1,100,0,100,3
1,100,0,100,4
1,100,0,100,4
1,100,0,100,3
1,100,0,100,4
1,100,0,100,3
1,200,0,100,33
1,200,0,100,30
1,200,0,100,31
1,200,0,100,33
1,200,0,100,30
1,200,0,100,30
1,300,0,100,104
1,300,0,100,105
1,300,0,100,103
1,300,0,100,102
1,300,0,100,106
1,300,0,100,106
1,400,0,100,244
1,400,0,100,248
1,400,0,100,249
1,400,0,100,251
1,400,0,100,256
1,400,0,100,251
1,500,0,100,500
1,500,0,100,483
1,500,0,100,490
1,500,0,100,482
1,500,0,100,495
1,500,0,100,484
1,600,0,100,850
1,600,0,100,854
1,600,0,100,853
1,600,0,100,849
1,600,0,100,835
1,600,0,100,850
1,700,0,100,1419
1,700,0,100,1543
1,700,0,100,1390
1,700,0,100,1928
1,700,0,100,1482
1,700,0,100,1466
1,800,0,100,2353
1,800,0,100,2309
1,800,0,100,2260
1,800,0,100,2086
1,800,0,100,2040
1,800,0,100,2192
1,900,0,100,3282
1,900,0,100,3041
1,900,0,100,3023
1,900,0,100,3287
1,900,0,100,3630
1,900,0,100,4276
1,1000,0,100,5798
1,1000,0,100,5497
1,1000,0,100,4710
1,1000,0,100,4746
1,1000,0,100,4764
1,1000,0,100,4655
2,100,0,100,3
2,100,0,100,3
2,100,0,100,3
2,100,0,100,3
2,100,0,100,2
2,100,0,100,2
2,200,0,100,23
2,200,0,100,29
2,200,0,100,29
2,200,0,100,24
2,200,0,100,26
2,200,0,100,21
2,300,0,100,84
2,300,0,100,88
2,300,0,100,83
2,300,0,100,87
2,300,0,100,88
2,300,0,100,99
2,400,0,100,213
2,400,0,100,209
2,400,0,100,178
2,400,0,100,182
2,400,0,100,169
2,400,0,100,173
2,500,0,100,372
2,500,0,100,484
2,500,0,100,362
2,500,0,100,367
2,500,0,100,419
2,500,0,100,377
2,600,0,100,632
2,600,0,100,559
2,600,0,100,591
2,600,0,100,571
2,600,0,100,646
2,600,0,100,707
2,700,0,100,1225
2,700,0,100,1069
2,700,0,100,875
2,700,0,100,878
2,700,0,100,869
2,700,0,100,826
2,800,0,100,1251
2,800,0,100,1201
2,800,0,100,1682
2,800,0,100,1383
2,800,0,100,1296
2,800,0,100,1284
2,900,0,100,1823
2,900,0,100,2477
2,900,0,100,2822
2,900,0,100,2637
2,900,0,100,2459
2,900,0,100,2674
2,1000,0,100,3405
2,1000,0,100,3604
2,1000,0,100,3315
2,1000,0,100,3419
2,1000,0,100,3609
2,1000,0,100,3313
4,100,0,100,2
4,100,0,100,2
4,100,0,100,1
4,100,0,100,2
4,100,0,100,1
4,100,0,100,1
4,200,0,100,16
4,200,0,100,15
4,200,0,100,15
4,200,0,100,15
4,200,0,100,15
4,200,0,100,12
4,300,0,100,68
4,300,0,100,54
4,300,0,100,59
4,300,0,100,62
4,300,0,100,69
4,300,0,100,45
4,400,0,100,110
4,400,0,100,104
4,400,0,100,107
4,400,0,100,111
4,400,0,100,106
4,400,0,100,113
4,500,0,100,199
4,500,0,100,223
4,500,0,100,196
4,500,0,100,215
4,500,0,100,267
4,500,0,100,254
4,600,0,100,415
4,600,0,100,418
4,600,0,100,399
4,600,0,100,427
4,600,0,100,457
4,600,0,100,416
4,700,0,100,684
4,700,0,100,638
4,700,0,100,660
4,700,0,100,738
4,700,0,100,651
4,700,0,100,698
4,800,0,100,1045
4,800,0,100,804
4,800,0,100,845
4,800,0,100,795
4,800,0,100,1076
4,800,0,100,1046
4,900,0,100,1339
4,900,0,100,1567
4,900,0,100,1341
4,900,0,100,1360
4,900,0,100,1169
4,900,0,100,1186
4,1000,0,100,1905
4,1000,0,100,1849
4,1000,0,100,2298
4,1000,0,100,1968
